Threshold,Target,Model,Metrics,Accuracy
3dB,ITR,KNN,DetectionPctVar + RobustnessIndex,0.23809523809523808
3dB,BCI,KNN,DetectionPctVar + FreqEntropy,0.6666666666666666
3dB,ITR,KNN,DetectionPctVar + FreqEntropy,0.42857142857142855
3dB,BCI,KNN,DetectionPctVar + StrongResponses,0.5714285714285714
3dB,ITR,KNN,DetectionPctVar + StrongResponses,0.2857142857142857
3dB,BCI,KNN,EarlyDetectionRatio + PowerSkewness,0.5714285714285714
3dB,ITR,KNN,EarlyDetectionRatio + PowerSkewness,0.19047619047619047
3dB,BCI,KNN,EarlyDetectionRatio + RobustnessIndex,0.5238095238095238
3dB,ITR,KNN,EarlyDetectionRatio + RobustnessIndex,0.19047619047619047
3dB,BCI,KNN,EarlyDetectionRatio + FreqEntropy,0.5714285714285714
3dB,ITR,KNN,EarlyDetectionRatio + FreqEntropy,0.38095238095238093
3dB,BCI,KNN,EarlyDetectionRatio + StrongResponses,0.5238095238095238
3dB,ITR,KNN,EarlyDetectionRatio + StrongResponses,0.2857142857142857
3dB,BCI,KNN,PowerSkewness + RobustnessIndex,0.38095238095238093
3dB,ITR,KNN,PowerSkewness + RobustnessIndex,0.42857142857142855
3dB,BCI,KNN,PowerSkewness + FreqEntropy,0.5238095238095238
3dB,ITR,KNN,PowerSkewness + FreqEntropy,0.38095238095238093
3dB,BCI,KNN,PowerSkewness + StrongResponses,0.5238095238095238
3dB,ITR,KNN,PowerSkewness + StrongResponses,0.38095238095238093
3dB,BCI,KNN,RobustnessIndex + FreqEntropy,0.5238095238095238
3dB,ITR,KNN,RobustnessIndex + FreqEntropy,0.42857142857142855
3dB,BCI,KNN,RobustnessIndex + StrongResponses,0.42857142857142855
3dB,ITR,KNN,RobustnessIndex + StrongResponses,0.14285714285714285
3dB,BCI,KNN,FreqEntropy + StrongResponses,0.6666666666666666
3dB,ITR,KNN,FreqEntropy + StrongResponses,0.3333333333333333
3dB,BCI,KNN,SignalDetected + AvgPower + PowerVariability,0.38095238095238093
3dB,ITR,KNN,SignalDetected + AvgPower + PowerVariability,0.42857142857142855
3dB,BCI,KNN,SignalDetected + AvgPower + DetectedTimePercentage,0.6666666666666666
3dB,ITR,KNN,SignalDetected + AvgPower + DetectedTimePercentage,0.2857142857142857
3dB,BCI,KNN,SignalDetected + AvgPower + DetectionTime,0.5238095238095238
3dB,ITR,KNN,SignalDetected + AvgPower + DetectionTime,0.38095238095238093
3dB,BCI,KNN,SignalDetected + AvgPower + DetectionRate,0.6666666666666666
3dB,ITR,KNN,SignalDetected + AvgPower + DetectionRate,0.3333333333333333
3dB,BCI,KNN,SignalDetected + AvgPower + DetectionPctVar,0.6190476190476191
3dB,ITR,KNN,SignalDetected + AvgPower + DetectionPctVar,0.23809523809523808
3dB,BCI,KNN,SignalDetected + AvgPower + EarlyDetectionRatio,0.42857142857142855
3dB,ITR,KNN,SignalDetected + AvgPower + EarlyDetectionRatio,0.38095238095238093
3dB,BCI,KNN,SignalDetected + AvgPower + PowerSkewness,0.5238095238095238
3dB,ITR,KNN,SignalDetected + AvgPower + PowerSkewness,0.3333333333333333
